1a95,12.6414,0,(0 0 1 0),0,1152,1155,1.002604167,1,1,1,0,0,0.0008680555556
1a9x,6.6927333,52,(0 0 1 0),0,8160,2887,2.826463457,1,1,1,0,0,0.001715686275
1ACB,7.542601,7,(1 0 0 0),0,522,1769,3.388888889,1,1,1,0,0,0.005558643691
1AHW,24.50705,14,(1 0 0 0),0,1612,3304,2.049627792,1,2,2,0,0,0.002723970944
1AK4,15.580768,14,(1 0 0 0),0,1130,1266,1.120353982,1,1,1,0,0,0.003179650238
1AKJ,18.607658,8,(1 0 0 0),0,1814,3075,1.695148842,2,2,1,0,89,0.0019467878
1ATN,22.72789,9,(1 0 0 0),0,2035,2941,1.445208845,1,2,2,0,186,0
1AVX,18.0004,2,(1 0 0 0),0,1286,1630,1.267496112,1,1,1,0,0,0.00730816078
1AVX,17.401777,11,(1 0 0 0),0,1286,1630,1.267496112,1,1,1,0,0,0.00730816078
1AY7,15.63363609,3,(0 0 1 0),0,720,746,1.036111111,1,1,1,0,0,0.002680965147
1AZS,20.577246,16,(1 0 0 0),0,2821,2990,1.059907834,1,3,3,0,88.86068997,0.003684598379
1b26,19.32660308,37,(0 0 1 0),0,3163,3163,1,1,1,1,0,0,0
1b26,13.826902,34,(0 0 1 0),0,3163,3163,1,1,1,1,0,0,0
1B6C,13.2558155,31,(1 0 0 0),0,2602,831,3.131167268,1,1,1,0,0,0.001201923077
1BGX,37.18086,17,(1 0 0 0),0,6570,3245,2.024653313,1,2,2,0,0.5,0.002437538087
1BJ1,8.579383,20,(1 0 0 0),0,1522,3307,2.172798949,2,2,1,0,2.5,0.002419110977
1BKD,16.243153,7,(1 0 0 0),0,1322,3662,2.770045386,1,1,1,0,0,0.001301405518
1BUH,6.5348835,2,(1 0 0 0),0,605,2311,3.819834711,1,1,1,0,0,0.001267962806
1BVK,14.270873,16,(1 0 0 0),0,1001,1744,1.742257742,1,2,2,0,4,0.002293577982
1BVN,5.3118343,7,(0 0 1 0),0,536,3907,7.289179104,1,1,1,0,0,0.003080082136
1BVN,5.3118343,10,(1 0 0 0),0,536,3907,7.289179104,1,1,1,0,0,0.003080082136
1CGI,6.8575463,7,(1 0 0 0),0,440,1799,4.088636364,1,1,1,0,0,0.005558643691
1CLV,5.383549,8,(1 0 0 0),1,246,3598,14.62601626,1,1,1,0,0,0.002501389661
1D6R,6.9818287,10,(1 0 0 0),0,427,1629,3.81498829,1,1,1,0,0,0.007366482505
